,img,drone_imu_rpy,drone_gyro_wxwywz,drone_gps_xyz,drone_camera_gps_xyz,drone_camera_imu_rpy,TR,TL,BR,BL,GATE-CENTER
0,img_5.png,"[-0.2197087035149798, -0.1744226371677852, 1.6722622183622258]","[0.0, 0.0, 0.0]","[-3.0, -5.0, 1.6]","[-3.004989336999462, -4.972512877680252, 1.614817713146265]","[-0.2197087035149798, -0.1744226371677852, 1.6722622183622258]","[285.9524433207836, 234.2139802606151]","[270.11599695064524, 230.53093322106133]","[284.6540902483573, 250.27236655009418]","[268.57966780267094, 246.38566445812756]","[277.2950798755963, 240.27948850905125]"
1,img_27.png,"[0.18473562413983854, 0.04111565677215452, 1.4427213176079332]","[0.0, 0.0, 0.0]","[-3.0, -3.1818181818181817, 0.8]","[-2.994298054750304, -3.15192291658568, 0.8085884187745979]","[0.18473562413983854, 0.04111565677215452, 1.4427213176079332]","[286.79276441246765, 108.67431966363677]","[269.4654292165711, 111.62233719475259]","[289.7441819177676, 127.9354912801506]","[272.54379711069504, 131.15596229453888]","[279.7040310136359, 119.85873697918848]"
2,img_42.png,"[0.19710538487300555, -0.04337666362663777, 1.2446409509411247]","[0.0, 0.0, 0.0]","[-3.0, -2.272727272727273, 2.0]","[-2.988678108224669, -2.2453658363029443, 2.011098043225051]","[0.19710538487300555, -0.04337666362663777, 1.2446409509411247]","[294.25637532655395, 185.02094608449121]","[278.7496953570027, 190.10545400478222]","[299.3586776414764, 206.86215341830973]","[283.9837180833716, 212.93533124682637]","[289.24490045384914, 198.63887028370675]"
3,img_78.png,"[0.0407278589257451, -0.2000814331519036, 1.6585515863092988]","[0.0, 0.0, 0.0]","[-2.5384615384615383, -5.0, 2.0]","[-2.540458721621269, -4.97265414234554, 2.0157548509535475]","[0.0407278589257451, -0.2000814331519036, 1.6585515863092988]","[282.4988409651352, 220.04927147787063]","[266.4451702371075, 220.45706589033847]","[285.388591813394, 236.42656223740445]","[269.0196617518131, 236.7128257329309]","[275.793936090005, 228.33817128167456]"
4,img_80.png,"[0.1912630265370741, 0.042290336277422444, 1.7295395409531844]","[0.0, 0.0, 0.0]","[-2.5384615384615383, -4.545454545454546, 0.4]","[-2.541388142859344, -4.515147876615762, 0.4085405392449783]","[0.1912630265370741, 0.042290336277422444, 1.7295395409531844]","[294.62621574628383, 90.93070265652416]","[276.12625445738547, 95.05812581526966]","[297.28465648062206, 107.94579344133065]","[278.82075369011875, 111.78837068804576]","[286.64394927284036, 101.46449709279533]"
5,img_88.png,"[-0.0922644703657607, -0.015016152360067385, 1.6018771576346438]","[0.0, 0.0, 0.0]","[-2.5384615384615383, -4.090909090909091, 1.2000000000000002]","[-2.5403099530396216, -4.061105036876746, 1.2104068115570799]","[-0.0922644703657607, -0.015016152360067385, 1.6018771576346438]","[281.26402309897827, 173.3047262880936]","[263.8229835291044, 171.68953786125277]","[279.86548976032765, 190.46746896091267]","[262.4022170103733, 188.79553113431535]","[271.8254069840028, 181.05646448435832]"
6,img_91.png,"[-0.03163650399806591, -0.033528856091289735, 0.5832729126963714]","[0.0, 0.0, 0.0]","[-2.5384615384615383, -3.6363636363636367, 0.0]","[-2.51388954849047, -3.619770684290737, 0.010995055723741085]","[-0.03163650399806591, -0.033528856091289735, 0.5832729126963714]","[101.68846359231198, 115.83171510224732]","[87.40929260734524, 111.39334095014462]","[101.00683448282156, 131.52762606782784]","[86.62084283263303, 128.40957680783643]","[94.47391537820621, 121.85413953132846]"
7,img_96.png,"[0.24215127430792094, -0.06937701105902425, 1.0901895196525138]","[0.0, 0.0, 0.0]","[-2.5384615384615383, -3.6363636363636367, 2.0]","[-2.5228102500579617, -3.6115315402897123, 2.0117645304149145]","[0.24215127430792094, -0.06937701105902425, 1.0901895196525138]","[198.26402527511937, 193.85779964407143]","[185.94090526438788, 198.34041119132849]","[202.24849967115702, 209.19321709491285]","[190.0204461192315, 214.38959861366672]","[194.24528926644598, 203.8670315665518]"
8,img_97.png,"[0.13138198283866157, -0.06745854306033305, 0.5407190852600671]","[0.0, 0.0, 0.0]","[-2.5384615384615383, -3.1818181818181817, 0.0]","[-2.5126984563700323, -3.1678778686217846, 0.01191349105563459]","[0.13138198283866157, -0.06745854306033305, 0.5407190852600671]","[100.59240363987051, 127.60108968468892]","[85.58765316857357, 124.8523619507915]","[102.41393208953254, 144.17090143902945]","[87.46937807945233, 142.96245864511513]","[94.34813405827987, 134.9104214794228]"
9,img_101.png,"[-0.004494009597467224, -0.14985145075811365, 1.531557060404702]","[0.0, 0.0, 0.0]","[-2.5384615384615383, -3.1818181818181817, 1.6]","[-2.537401321989104, -3.1536672031698787, 1.6143665702996357]","[-0.004494009597467224, -0.14985145075811365, 1.531557060404702]","[300.4334820164645, 207.8054106035987]","[279.3717105139875, 207.82461089334802]","[303.103388582396, 230.61662970346674]","[281.6409368901866, 230.75280196252055]","[291.1522195668691, 219.13867049713988]"
